Stage , Degree , In_Edges , Out_Edges , Depth
Dist_0001 , 2 , 1 , 1 , 1
Dist_0036 , 1 , 1 , 0 , 0
Dist_0002 , 2 , 1 , 1 , 1
Dist_0037 , 1 , 1 , 0 , 0
Dist_0003 , 3 , 1 , 2 , 1
Dist_0038 , 1 , 1 , 0 , 0
Dist_0039 , 1 , 1 , 0 , 0
Dist_0004 , 2 , 1 , 1 , 1
Dist_0040 , 1 , 1 , 0 , 0
Dist_0005 , 3 , 1 , 2 , 1
Dist_0041 , 1 , 1 , 0 , 0
Dist_0042 , 1 , 1 , 0 , 0
Dist_0006 , 3 , 1 , 2 , 1
Dist_0043 , 1 , 1 , 0 , 0
Dist_0044 , 1 , 1 , 0 , 0
Dist_0007 , 3 , 1 , 2 , 1
Dist_0045 , 1 , 1 , 0 , 0
Dist_0046 , 1 , 1 , 0 , 0
Dist_0008 , 2 , 1 , 1 , 1
Dist_0047 , 1 , 1 , 0 , 0
Dist_0009 , 2 , 1 , 1 , 1
Dist_0048 , 1 , 1 , 0 , 0
Dist_0010 , 2 , 1 , 1 , 1
Dist_0049 , 1 , 1 , 0 , 0
Dist_0011 , 2 , 1 , 1 , 1
Dist_0050 , 1 , 1 , 0 , 0
Dist_0012 , 2 , 1 , 1 , 1
Dist_0051 , 1 , 1 , 0 , 0
Dist_0013 , 2 , 1 , 1 , 1
Dist_0052 , 1 , 1 , 0 , 0
Dist_0014 , 3 , 1 , 2 , 1
Dist_0053 , 1 , 1 , 0 , 0
Dist_0054 , 1 , 1 , 0 , 0
Dist_0015 , 2 , 1 , 1 , 1
Dist_0055 , 1 , 1 , 0 , 0
Dist_0016 , 2 , 1 , 1 , 1
Dist_0056 , 1 , 1 , 0 , 0
Dist_0017 , 2 , 1 , 1 , 1
Dist_0057 , 1 , 1 , 0 , 0
Dist_0018 , 3 , 1 , 2 , 1
Dist_0058 , 1 , 1 , 0 , 0
Dist_0059 , 1 , 1 , 0 , 0
Dist_0019 , 3 , 1 , 2 , 1
Dist_0060 , 1 , 1 , 0 , 0
Dist_0061 , 1 , 1 , 0 , 0
Dist_0020 , 2 , 1 , 1 , 1
Dist_0062 , 1 , 1 , 0 , 0
Dist_0021 , 2 , 1 , 1 , 1
Dist_0063 , 1 , 1 , 0 , 0
Dist_0022 , 2 , 1 , 1 , 1
Dist_0064 , 1 , 1 , 0 , 0
Dist_0023 , 2 , 1 , 1 , 1
Dist_0065 , 1 , 1 , 0 , 0
Dist_0024 , 2 , 1 , 1 , 1
Dist_0066 , 1 , 1 , 0 , 0
Dist_0025 , 2 , 1 , 1 , 1
Dist_0067 , 1 , 1 , 0 , 0
Dist_0026 , 2 , 1 , 1 , 1
Dist_0068 , 1 , 1 , 0 , 0
Dist_0027 , 2 , 1 , 1 , 1
Dist_0069 , 1 , 1 , 0 , 0
Dist_0028 , 2 , 1 , 1 , 1
Dist_0070 , 1 , 1 , 0 , 0
Dist_0029 , 2 , 1 , 1 , 1
Dist_0071 , 1 , 1 , 0 , 0
Dist_0030 , 2 , 1 , 1 , 1
Dist_0072 , 1 , 1 , 0 , 0
Dist_0031 , 2 , 1 , 1 , 1
Dist_0073 , 1 , 1 , 0 , 0
Dist_0032 , 2 , 1 , 1 , 1
Dist_0074 , 1 , 1 , 0 , 0
Dist_0033 , 2 , 1 , 1 , 1
Dist_0075 , 1 , 1 , 0 , 0
Dist_0034 , 2 , 1 , 1 , 1
Dist_0076 , 1 , 1 , 0 , 0
Dist_0035 , 2 , 1 , 1 , 1
Dist_0077 , 1 , 1 , 0 , 0
Manuf_0001 , 3 , 2 , 1 , 4
Manuf_0010 , 3 , 2 , 1 , 3
Manuf_0002 , 3 , 2 , 1 , 4
Manuf_0023 , 9 , 8 , 1 , 3
Manuf_0003 , 7 , 6 , 1 , 4
Manuf_0024 , 4 , 3 , 1 , 3
Manuf_0004 , 3 , 2 , 1 , 4
Manuf_0027 , 18 , 15 , 3 , 3
Manuf_0005 , 4 , 1 , 3 , 4
Manuf_0029 , 10 , 9 , 1 , 3
Manuf_0030 , 18 , 9 , 9 , 3
Manuf_0031 , 16 , 9 , 7 , 3
Manuf_0006 , 2 , 1 , 1 , 4
Manuf_0007 , 7 , 5 , 2 , 4
Manuf_0008 , 5 , 4 , 1 , 4
Manuf_0009 , 3 , 1 , 2 , 4
Manuf_0032 , 68 , 66 , 2 , 2
Manuf_0011 , 18 , 2 , 16 , 3
Manuf_0033 , 63 , 60 , 3 , 2
