Stage , Degree , In_Edges , Out_Edges , Depth
Manuf_0001 , 6 , 5 , 1 , 1
Retail_0001 , 2 , 2 , 0 , 0
Manuf_0002 , 15 , 14 , 1 , 1
Retail_0002 , 3 , 3 , 0 , 0
Manuf_0003 , 13 , 12 , 1 , 1
Retail_0003 , 3 , 3 , 0 , 0
Manuf_0004 , 2 , 1 , 1 , 1
Manuf_0005 , 2 , 1 , 1 , 1
Manuf_0006 , 15 , 14 , 1 , 1
Retail_0004 , 3 , 3 , 0 , 0
Manuf_0007 , 2 , 1 , 1 , 1
Manuf_0008 , 2 , 1 , 1 , 1
Retail_0005 , 8 , 8 , 0 , 0
Manuf_0009 , 17 , 16 , 1 , 1
Manuf_0010 , 2 , 1 , 1 , 1
Manuf_0011 , 14 , 13 , 1 , 1
Retail_0006 , 3 , 3 , 0 , 0
Manuf_0012 , 7 , 6 , 1 , 1
Manuf_0013 , 18 , 17 , 1 , 1
Retail_0007 , 4 , 4 , 0 , 0
Manuf_0014 , 9 , 8 , 1 , 1
Manuf_0015 , 12 , 11 , 1 , 1
Retail_0009 , 3 , 3 , 0 , 0
Manuf_0016 , 2 , 1 , 1 , 1
Manuf_0017 , 17 , 16 , 1 , 1
Retail_0008 , 4 , 4 , 0 , 0
Manuf_0018 , 9 , 8 , 1 , 1
Manuf_0019 , 5 , 4 , 1 , 1
Retail_0010 , 5 , 5 , 0 , 0
Manuf_0020 , 16 , 15 , 1 , 1
Manuf_0021 , 2 , 1 , 1 , 1
Manuf_0022 , 5 , 4 , 1 , 1
Retail_0011 , 5 , 5 , 0 , 0
Manuf_0023 , 16 , 15 , 1 , 1
Manuf_0024 , 2 , 1 , 1 , 1
Manuf_0025 , 20 , 19 , 1 , 1
Retail_0012 , 4 , 4 , 0 , 0
Manuf_0026 , 2 , 1 , 1 , 1
Manuf_0027 , 18 , 17 , 1 , 1
Retail_0013 , 13 , 13 , 0 , 0
Manuf_0028 , 9 , 8 , 1 , 1
Manuf_0029 , 8 , 7 , 1 , 1
Retail_0014 , 2 , 2 , 0 , 0
Manuf_0030 , 2 , 1 , 1 , 1
Retail_0017 , 4 , 4 , 0 , 0
Manuf_0031 , 8 , 7 , 1 , 1
Manuf_0032 , 9 , 7 , 2 , 1
Retail_0016 , 2 , 2 , 0 , 0
Manuf_0033 , 13 , 12 , 1 , 1
Retail_0018 , 3 , 3 , 0 , 0
Manuf_0034 , 9 , 8 , 1 , 1
Manuf_0035 , 3 , 1 , 2 , 1
Retail_0019 , 4 , 4 , 0 , 0
Retail_0020 , 4 , 4 , 0 , 0
Manuf_0036 , 9 , 8 , 1 , 1
Manuf_0037 , 23 , 22 , 1 , 1
Manuf_0038 , 7 , 5 , 2 , 1
Retail_0021 , 2 , 2 , 0 , 0
Retail_0022 , 7 , 7 , 0 , 0
Manuf_0039 , 6 , 5 , 1 , 1
Manuf_0040 , 5 , 4 , 1 , 1
Manuf_0041 , 15 , 14 , 1 , 1
Manuf_0042 , 9 , 8 , 1 , 1
Manuf_0043 , 17 , 16 , 1 , 1
Retail_0023 , 4 , 4 , 0 , 0
Manuf_0044 , 10 , 9 , 1 , 1
Manuf_0045 , 9 , 8 , 1 , 1
Retail_0024 , 14 , 14 , 0 , 0
Manuf_0046 , 6 , 5 , 1 , 1
Retail_0025 , 3 , 3 , 0 , 0
Manuf_0047 , 21 , 20 , 1 , 1
Manuf_0048 , 16 , 15 , 1 , 1
Part_0001 , 15 , 0 , 15 , 2
Part_0002 , 25 , 0 , 25 , 2
Part_0003 , 10 , 0 , 10 , 2
Part_0004 , 1 , 0 , 1 , 2
Part_0005 , 22 , 0 , 22 , 2
Part_0006 , 6 , 0 , 6 , 2
Part_0007 , 2 , 0 , 2 , 2
Part_0008 , 5 , 0 , 5 , 2
Part_0009 , 5 , 0 , 5 , 2
Part_0010 , 2 , 0 , 2 , 2
Part_0011 , 3 , 0 , 3 , 2
Part_0012 , 8 , 0 , 8 , 2
Part_0013 , 3 , 0 , 3 , 2
Part_0014 , 2 , 0 , 2 , 2
Part_0015 , 2 , 0 , 2 , 2
Part_0016 , 1 , 0 , 1 , 2
Part_0017 , 3 , 0 , 3 , 2
Part_0018 , 7 , 0 , 7 , 2
Part_0019 , 4 , 0 , 4 , 2
Part_0020 , 4 , 0 , 4 , 2
Part_0021 , 2 , 0 , 2 , 2
Part_0022 , 7 , 0 , 7 , 2
Part_0023 , 1 , 0 , 1 , 2
Part_0024 , 1 , 0 , 1 , 2
Part_0025 , 1 , 0 , 1 , 2
Part_0026 , 1 , 0 , 1 , 2
Part_0027 , 5 , 0 , 5 , 2
Part_0028 , 1 , 0 , 1 , 2
Part_0029 , 1 , 0 , 1 , 2
Part_0030 , 2 , 0 , 2 , 2
Part_0031 , 2 , 0 , 2 , 2
Part_0032 , 4 , 0 , 4 , 2
Part_0033 , 5 , 0 , 5 , 2
Part_0034 , 3 , 0 , 3 , 2
Part_0035 , 1 , 0 , 1 , 2
Part_0036 , 1 , 0 , 1 , 2
Part_0037 , 2 , 0 , 2 , 2
Part_0038 , 4 , 0 , 4 , 2
Part_0039 , 1 , 0 , 1 , 2
Part_0040 , 1 , 0 , 1 , 2
Part_0041 , 1 , 0 , 1 , 2
Part_0042 , 1 , 0 , 1 , 2
Part_0043 , 5 , 0 , 5 , 2
Part_0044 , 2 , 0 , 2 , 2
Part_0045 , 4 , 0 , 4 , 2
Part_0046 , 2 , 0 , 2 , 2
Part_0047 , 3 , 0 , 3 , 2
Part_0048 , 2 , 0 , 2 , 2
Part_0049 , 2 , 0 , 2 , 2
Part_0050 , 2 , 0 , 2 , 2
Part_0051 , 2 , 0 , 2 , 2
Part_0052 , 3 , 0 , 3 , 2
Part_0053 , 3 , 0 , 3 , 2
Part_0054 , 3 , 0 , 3 , 2
Part_0055 , 3 , 0 , 3 , 2
Part_0056 , 8 , 0 , 8 , 2
Part_0057 , 4 , 0 , 4 , 2
Part_0058 , 8 , 0 , 8 , 2
Part_0059 , 5 , 0 , 5 , 2
Part_0060 , 1 , 0 , 1 , 2
Part_0061 , 1 , 0 , 1 , 2
Part_0062 , 1 , 0 , 1 , 2
Part_0063 , 4 , 0 , 4 , 2
Part_0064 , 2 , 0 , 2 , 2
Part_0065 , 2 , 0 , 2 , 2
Part_0066 , 2 , 0 , 2 , 2
Part_0067 , 2 , 0 , 2 , 2
Part_0068 , 1 , 0 , 1 , 2
Part_0069 , 1 , 0 , 1 , 2
Part_0070 , 1 , 0 , 1 , 2
Part_0071 , 1 , 0 , 1 , 2
Part_0072 , 1 , 0 , 1 , 2
Part_0073 , 1 , 0 , 1 , 2
Part_0074 , 1 , 0 , 1 , 2
Part_0075 , 1 , 0 , 1 , 2
