Optimality test +++++++++++++++++++++++++++++
The following constraints are not satisfied: 
+++++++++++++++++++++++++++
Time to run:, 5.095448970794678 ,seconds
------
The SC has, 482 , nodes and,  941 edges.
------
The value of the objective using Pyomo is, 489835.12 
stage, SI, time, S
Dist_0001 , 0.0 , 10 , 0.01
Retail_0001 , 0.01 , 5 , 5.0
Dist_0002 , 0.0 , 10 , 0.01
Retail_0002 , 0.01 , 5 , 5.0
Dist_0003 , 0.0 , 10 , 0.01
Retail_0003 , 0.01 , 5 , 5.0
Dist_0004 , 0.0 , 10 , 0.01
Retail_0004 , 0.01 , 5 , 5.0
Dist_0005 , 0.0 , 10 , 0.01
Retail_0005 , 0.01 , 5 , 5.0
Dist_0006 , 0.0 , 10 , 0.01
Retail_0006 , 0.01 , 5 , 5.0
Dist_0007 , 0.0 , 10 , 0.01
Retail_0007 , 0.01 , 5 , 5.0
Dist_0008 , 0.0 , 10 , 0.01
Retail_0008 , 0.01 , 5 , 5.0
Dist_0009 , 0.0 , 10 , 0.01
Retail_0009 , 0.01 , 5 , 5.0
Dist_0010 , 24.99 , 10 , 0.01
Retail_0010 , 0.01 , 5 , 5.0
Dist_0011 , 9.99 , 10 , 0.01
Retail_0011 , 0.01 , 5 , 5.0
Dist_0012 , 0.0 , 10 , 0.01
Retail_0012 , 0.01 , 5 , 5.0
Manuf_0001 , 0.0 , 15 , 14.99
Manuf_0014 , 14.99 , 20 , 0.0
Manuf_0002 , 5.0 , 10 , 14.99
Manuf_0003 , 0.0 , 5 , 4.99
Manuf_0025 , 4.99 , 25 , 0.0
Manuf_0004 , 0.0 , 10 , 9.99
Manuf_0027 , 9.99 , 20 , 0.0
Manuf_0034 , 15.0 , 10 , 24.99
Manuf_0005 , 0.0 , 15 , 14.99
Manuf_0032 , 14.99 , 15 , 0.0
Manuf_0006 , 0.0 , 15 , 14.99
Manuf_0007 , 10.01 , 5 , 15.0
Manuf_0008 , 10.01 , 5 , 15.0
Manuf_0009 , 2.63 , 5 , 7.62
Manuf_0036 , 9.99 , 15 , 9.99
Manuf_0038 , 9.99 , 20 , 0.0
Manuf_0010 , -0.0 , 10 , 9.99
Manuf_0011 , 10.01 , 5 , 15.0
Manuf_0012 , 3.33 , 5 , 8.32
Manuf_0013 , 0.0 , 15 , 9.99
Manuf_0015 , 0.0 , 15 , 0.0
Manuf_0016 , 0.0 , 10 , 0.0
Manuf_0017 , 0.0 , 15 , 0.0
Manuf_0018 , 0.0 , 10 , 0.0
Manuf_0019 , 0.0 , 25 , 0.0
Manuf_0020 , 0.0 , 20 , 0.0
Manuf_0021 , 0.0 , 25 , 0.0
Manuf_0022 , 0.0 , 15 , 0.0
Manuf_0023 , 0.0 , 15 , 0.0
Manuf_0024 , 0.0 , 25 , 0.0
Manuf_0026 , 0.0 , 20 , 0.0
Manuf_0028 , 0.0 , 10 , 0.0
Manuf_0029 , 0.0 , 20 , 0.0
Manuf_0030 , 0.0 , 15 , 0.0
Manuf_0031 , 0.0 , 20 , 0.0
Manuf_0033 , 0.0 , 25 , 24.99
